"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "TypeScript", "JSON", "JSON Lines", "comment", "blank", "total"
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\grammar.jsx", "JavaScript JSX", 0, 304, 0, 0, 0, 0, 0, 1, 49, 354
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\home.jsx", "JavaScript JSX", 0, 51, 0, 0, 0, 0, 0, 4, -1, 54
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\login.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\makeDaughter.jsx", "JavaScript JSX", 0, 2042, 0, 0, 0, 0, 0, 11, 144, 2197
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\recoverPassword.jsx", "JavaScript JSX", 0, 55, 0, 0, 0, 0, 0, 2, 7, 64
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\search.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\thesaurus.jsx", "JavaScript JSX", 0, 282, 0, 0, 0, 0, 0, 0, 18, 300
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\user.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\welcome.jsx", "JavaScript JSX", 0, 144, 0, 0, 0, 0, 0, 0, 17, 161
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Pages\word.jsx", "JavaScript JSX", 0, 496, 0, 0, 0, 0, 0, 12, 66, 574
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\automateThesaurus\automateThesaurus.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 52, 32, 189
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\automatingSemanticShifts\automateSemanticShift.js", "JavaScript", 10110, 0, 0, 0, 0, 0, 0, 29, 58, 10197
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\automatingSemanticShifts\formatedSemanticShifts.js", "JavaScript", 76926, 0, 0, 0, 0, 0, 0, 5, 7, 76938
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\automatingSemanticShifts\mergedSemanticShifts.js", "JavaScript", 38573, 0, 0, 0, 0, 0, 0, 0, 1932, 40505
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\downArrow.svg", "XML", 0, 0, 0, 32, 0, 0, 0, 1, 2, 35
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\ipaChars.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\thesaurus.js", "JavaScript", 43110, 0, 0, 0, 0, 0, 0, 0, 2, 43112
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\translationObj.jsx", "JavaScript JSX", 0, 1826, 0, 0, 0, 0, 0, 0, 1, 1827
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\trash-bin.svg", "XML", 0, 0, 0, 53, 0, 0, 0, 1, 2, 56
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\upArrow.svg", "XML", 0, 0, 0, 37, 0, 0, 0, 1, 2, 40
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\wikiDictionaryDump\english_headwords_deduped.jsonl", "JSON Lines", 0, 0, 0, 0, 0, 0, 697990, 0, 2, 697992
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\wikiDictionaryDump\filterEnglishWords.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 11, 20, 83
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\assets\wikiDictionaryDump\formatWikiDictionary.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 1, 16, 61
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\main.jsx", "JavaScript JSX", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckEditor-build\App.css", "PostCSS", 0, 0, 70, 0, 0, 0, 0, 5, 13, 88
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckEditor-build\App.jsx", "JavaScript JSX", 0, 267, 0, 0, 0, 0, 0, 7, 18, 292
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\ckeditor5.css", "PostCSS", 0, 0, 6847, 0, 0, 0, 0, 2637, 1155, 10639
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\ckeditor5.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 5, 1, 66
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\af.d.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 4, 2, 9
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\af.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\af.umd.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 4, 2, 12
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\ar.d.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 4, 2, 9
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\ar.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\ar.umd.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 4, 2, 12
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\ast.d.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 4, 2, 9
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\ast.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\ast.umd.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 4, 2, 12
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\az.d.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 4, 2, 9
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\az.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 0, 5
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\vendor\ckeditor5\translations\az.umd.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 4, 2, 12
