"filename", "language", "JSON", "Markdown", "JavaScript JSX", "JavaScript", "PostCSS", "XML", "JSON Lines", "comment", "blank", "total"
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\package-lock.json", "JSON", 106, 0, 0, 0, 0, 0, 0, 0, 0, 106
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\package.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\public\WordsToAddToDictionary.js", "JavaScript", 0, 0, 0, 1146776, 0, 0, 0, 0, 84, 1146860
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\public\affixDerivations.json", "JSON", 2899616, 0, 0, 0, 0, 0, 0, 0, 195, 2899811
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\public\coreEnglishWords.json", "JSON", 15171, 0, 0, 0, 0, 0, 0, 0, 321, 15492
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 147, 0, 0, 3, 42, 192
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, -2, 12
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\EditLanguageModal.jsx", "JavaScript JSX", 0, 0, 54, 0, 0, 0, 0, 0, 9, 63
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\ManageCompounds.jsx", "JavaScript JSX", 0, 0, 111, 0, 0, 0, 0, 0, 11, 122
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\ManageDerivationsModal.jsx", "JavaScript JSX", 0, 0, 93, 0, 0, 0, 0, 0, 15, 108
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\PaginateAffixes.jsx", "JavaScript JSX", 0, 0, 83, 0, 0, 0, 0, 0, 13, 96
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\PaginatedDerivations.jsx", "JavaScript JSX", 0, 0, 61, 0, 0, 0, 0, 0, 9, 70
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\PaginatedGeneratedLanguage.jsx", "JavaScript JSX", 0, 0, -391, 0, 0, 0, 0, 1, 8, -382
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\addGroupModal.jsx", "JavaScript JSX", 0, 0, 54, 0, 0, 0, 0, 0, 3, 57
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\addLanguageModal.jsx", "JavaScript JSX", 0, 0, 54, 0, 0, 0, 0, 0, 3, 57
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\addWordModal.jsx", "JavaScript JSX", 0, 0, 68, 0, 0, 0, 0, 0, 14, 82
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\dictionaryForMakeDaughter.jsx", "JavaScript JSX", 0, 0, 548, 0, 0, 0, 0, 0, 15, 563
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\editGroupModal.jsx", "JavaScript JSX", 0, 0, 171, 0, 0, 0, 0, 0, 25, 196
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\editWordModal.jsx", "JavaScript JSX", 0, 0, 150, 0, 0, 0, 0, 0, 6, 156
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\generateWord.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -4, -4
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\languageSelector.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, -18, 0, -18
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\orthography.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\paginateDictionary.jsx", "JavaScript JSX", 0, 0, 100, 0, 0, 0, 0, 0, 2, 102
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\paginateMakeDaughter.jsx", "JavaScript JSX", 0, 0, 254, 0, 0, 0, 0, 71, 34, 359
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\parentLanguageModal.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\printOptions.jsx", "JavaScript JSX", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\awowi\Documents\GitHub\Elatha\frontend\src\Components\savePhonologyModal.jsx", "JavaScript JSX", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
